GEO_ID,NAME,S2501_C01_001E,S2501_C01_002EA,S2501_C01_003M,S2501_C01_004MA,S2501_C01_005EA
Geography,Zip code,Total estimate of occupied housing unit,One person,Two people,Three people,Four People
8600000US01355,ZCTA5 01355,392,104,174,43,71
8600000US01360,ZCTA5 01360,1214,342,371,247,254
8600000US01364,ZCTA5 01364,3185,937,1115,552,581
8600000US01366,ZCTA5 01366,493,140,198,69,86
8600000US01367,ZCTA5 01367,231,73,85,21,52
8600000US01368,ZCTA5 01368,528,117,233,54,124
8600000US01370,ZCTA5 01370,1853,723,639,251,240
8600000US01373,ZCTA5 01373,1850,575,671,302,302
8600000US01375,ZCTA5 01375,1597,461,596,404,136
8600000US01376,ZCTA5 01376,2375,951,826,321,277
8600000US01378,ZCTA5 01378,338,102,148,38,50
8600000US01379,ZCTA5 01379,384,118,163,54,49
8600000US01420,ZCTA5 01420,14828,3966,5088,2480,3294
8600000US01430,ZCTA5 01430,2024,283,792,358,591
8600000US01431,ZCTA5 01431,1106,123,464,237,282
8600000US01432,ZCTA5 01432,3387,1087,1207,398,695
8600000US01434,ZCTA5 01434,191,10,53,91,37
8600000US01436,ZCTA5 01436,1229,331,344,216,338
8600000US01438,ZCTA5 01438,229,0,166,51,12
8600000US01440,ZCTA5 01440,8254,2461,3301,1160,1332
8600000US01450,ZCTA5 01450,4101,669,1599,669,1164
8600000US01451,ZCTA5 01451,1645,223,650,311,461
8600000US01452,ZCTA5 01452,1682,343,599,294,446
8600000US01453,ZCTA5 01453,16563,4767,5660,2821,3315
8600000US01460,ZCTA5 01460,3440,700,1055,680,1005
8600000US01462,ZCTA5 01462,4171,867,1479,768,1057
8600000US01463,ZCTA5 01463,4346,995,1466,588,1297
8600000US01464,ZCTA5 01464,2426,569,962,409,486
8600000US01467,ZCTA5 01467,163,47,22,50,44
8600000US01468,ZCTA5 01468,1891,591,749,302,249
8600000US01469,ZCTA5 01469,2683,534,918,396,835
8600000US01473,ZCTA5 01473,2832,597,987,675,573
8600000US01474,ZCTA5 01474,715,192,226,96,201
8600000US01475,ZCTA5 01475,3889,970,1265,631,1023
8600000US01501,ZCTA5 01501,6642,1878,2354,1085,1325
8600000US01503,ZCTA5 01503,1151,217,496,149,289
8600000US01504,ZCTA5 01504,3438,856,1041,616,925
8600000US01505,ZCTA5 01505,1713,398,615,231,469
8600000US01506,ZCTA5 01506,1421,420,509,216,276
8600000US01507,ZCTA5 01507,4889,922,1882,771,1314
8600000US01510,ZCTA5 01510,5586,1583,1926,935,1142
8600000US01515,ZCTA5 01515,828,225,270,145,188
